name	log2FC	pvalue	qvalue	n.control	n.alt	mean_length.control	mean_length.alt
ENST00000357480	-0.341454679	0.113122633	0.656262312	41	39	1418.243902	1184.487179
ENST00000357484	-0.093403776	0.517173061	0.890790748	62	60	1251.596774	1184.566667
ENST00000357495	-0.291002831	0.064980829	0.567718693	40	47	689.95	539.8723404
ENST00000357500	-0.139143366	0.000250503	0.057615208	164	191	830.2317073	767.4240838
ENST00000357503	-0.212125868	0.469499942	0.87460809	113	127	1694.681416	1697.574803
ENST00000357512	-0.186730697	0.661957518	0.929203615	6	11	1653.166667	1518.272727
ENST00000357519	-0.149140108	0.160274752	0.706629942	200	282	1121.33	1052.414894
ENST00000357529	-0.371244297	0.092735957	0.623934372	33	29	1601.454545	1273.344828
ENST00000357537	0.058799842	0.877966845	0.975664557	20	22	985.6	1005.818182
ENST00000357558	-0.179295243	0.459868398	0.874174149	57	81	1667.192982	1527.209877
ENST00000357559	-0.084272863	0.594008086	0.913675218	158	183	1512.626582	1504.382514
ENST00000357573	-0.125474116	0.540219858	0.899151148	12	14	727.5833333	676.3571429
ENST00000357575	-0.007828176	0.9677904	0.993740755	42	39	1314.833333	1326.948718
ENST00000357578	0.282530356	0.544148229	0.900001503	15	21	1835.266667	2035.619048
ENST00000357585	-0.389554451	0.272399034	0.796811388	25	17	1451.32	1039.529412
ENST00000357586	-0.162859823	0.282822876	0.802089856	86	111	1889.313953	1740.90991
ENST00000357590	-0.226148043	0.384921168	0.846238291	19	25	1652.631579	1467.88
ENST00000357604	-0.546455485	0.179396516	0.7241845	17	25	1732.588235	1472.52
ENST00000357606	0.166138275	0.443705686	0.866491838	56	38	1640.089286	1820
ENST00000357613	-0.185259481	0.644183498	0.926853992	7	15	1184.714286	1104.466667
ENST00000357618	-0.276172604	0.356539936	0.834727824	14	18	1318.142857	1104.055556
